"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Area","Singular_max","Overall_max"
1986,68.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1987,62,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1988,38.0999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1989,83.8000030517578,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1990,39.4000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1991,30.5,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1992,61.5,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1993,49.5,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1994,39.4000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1995,33.7999992370605,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1996,90.1999969482422,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1997,49.7999992370605,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1998,50.7999992370605,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1999,67.8000030517578,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2000,64,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2001,52.7999992370605,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2002,42.7000007629395,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2003,32.2999992370605,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2004,38.0999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2005,42.7000007629395,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2006,75.6999969482422,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2007,111.800003051758,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2008,58.9000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2009,45.7000007629395,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2010,59.9000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2011,36.0999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2012,31,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2013,42.4000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2014,79.5,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2015,56.9000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2016,63.2000007629395,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2017,54.4000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2018,58.9000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
2019,69.3000030517578,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1925,50.7999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1926,15.1999998092651,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1927,21.7999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1928,11.3999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1929,18.5,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1930,24.3999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1931,21.6000003814697,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1932,42.9000015258789,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1933,22.8999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
